Longitude,Latitude
9.53125,-34.924374
9.59375,-34.924374
9.65625,-34.924374
9.71875,-34.924374
9.78125,-34.924374
9.84375,-34.924374
9.90625,-34.924374
9.96875,-34.924374
10.03125,-34.924374
10.09375,-34.924374
10.15625,-34.924374
10.21875,-34.924374
10.28125,-34.924374
10.34375,-34.924374
10.40625,-34.924374
10.46875,-34.924374
10.53125,-34.924374
10.59375,-34.924374
10.65625,-34.924374
10.71875,-34.924374
10.78125,-34.924374
10.84375,-34.924374
10.90625,-34.924374
10.96875,-34.924374
11.03125,-34.924374
11.09375,-34.924374
11.15625,-34.924374
11.21875,-34.924374
11.28125,-34.924374
11.34375,-34.924374
11.40625,-34.924374
11.46875,-34.924374
11.53125,-34.924374
11.59375,-34.924374
11.65625,-34.924374
11.71875,-34.924374
11.78125,-34.924374
11.84375,-34.924374
11.90625,-34.924374
11.96875,-34.924374
12.03125,-34.924374
12.09375,-34.924374
12.15625,-34.924374
12.21875,-34.924374
12.28125,-34.924374
12.34375,-34.924374
12.40625,-34.924374
12.46875,-34.924374
12.53125,-34.924374
12.59375,-34.924374
12.65625,-34.924374
12.71875,-34.924374
12.78125,-34.924374
12.84375,-34.924374
12.90625,-34.924374
12.96875,-34.924374
13.03125,-34.924374
13.09375,-34.924374
13.15625,-34.924374
13.21875,-34.924374
13.28125,-34.924374
13.34375,-34.924374
13.40625,-34.924374
13.46875,-34.924374
13.53125,-34.924374
13.59375,-34.924374
13.65625,-34.924374
13.71875,-34.924374
13.78125,-34.924374
13.84375,-34.924374
13.90625,-34.924374
13.96875,-34.924374
14.03125,-34.924374
14.09375,-34.924374
14.15625,-34.924374
14.21875,-34.924374
14.28125,-34.924374
14.34375,-34.924374
14.40625,-34.924374
14.46875,-34.924374
14.53125,-34.924374
14.59375,-34.924374
14.65625,-34.924374
14.71875,-34.924374
14.78125,-34.924374
14.84375,-34.924374
14.90625,-34.924374
14.96875,-34.924374
15.03125,-34.924374
15.09375,-34.924374
15.15625,-34.924374
15.21875,-34.924374
15.28125,-34.924374
15.34375,-34.924374
15.40625,-34.924374
15.46875,-34.924374
15.53125,-34.924374
15.59375,-34.924374
15.65625,-34.924374
15.71875,-34.924374
15.78125,-34.924374
15.84375,-34.924374
15.90625,-34.924374
15.96875,-34.924374
16.03125,-34.924374
16.09375,-34.924374
16.15625,-34.924374
16.21875,-34.924374
16.28125,-34.924374
16.34375,-34.924374
16.40625,-34.924374
16.46875,-34.924374
16.53125,-34.924374
16.59375,-34.924374
16.65625,-34.924374
16.71875,-34.924374
16.78125,-34.924374
16.84375,-34.924374
16.90625,-34.924374
16.96875,-34.924374
17.03125,-34.924374
17.09375,-34.924374
17.15625,-34.924374
17.21875,-34.924374
17.28125,-34.924374
17.34375,-34.924374
17.40625,-34.924374
